,Epoch,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC
0,0,0.6640062246709054,0.6443963383382452,0.6637851467685821
1,1,0.6187260109838859,0.6220070996750109,0.6179412707420289
2,2,0.5,0.5,0.75
3,3,0.5,0.5,0.75
4,4,0.5,0.5,0.75
5,5,0.5,0.5,0.75
6,6,0.5,0.5,0.75
7,7,0.5,0.5,0.75
8,8,0.5,0.5,0.75
9,9,0.499786780851677,0.4995737428508195,0.748613069785201
10,10,0.6056736702650205,0.6107460482940977,0.6054115708280267
11,11,0.6838260661854636,0.7031644952183486,0.6835125889664607
12,12,0.6847606975901857,0.6977804051299374,0.6844640205955825
13,13,0.7106892111142111,0.7273541334203079,0.7104284732690016
14,14,0.664490756527166,0.6642666192966721,0.6642228919107993
15,15,0.6797484397722106,0.6834623874477279,0.6794999540110596
16,16,0.7279198028780959,0.7424489510652424,0.727703117106707
17,17,0.6926452087227313,0.7095092109401391,0.6923491243885653
18,18,0.6662572658482409,0.6830372223322345,0.6658897668407007
19,19,0.6964988708802797,0.7177515171988025,0.6961844155095953
20,20,0.7551452462645729,0.7741616093373249,0.7549336673705853
21,21,0.7756154608203976,0.79219690969027,0.7754081242659596
22,22,0.7652724262718275,0.7850404489277685,0.7650448227116002
23,23,0.7629301756836155,0.7841071241365652,0.7626927392621168
24,24,0.7713889545076781,0.793597624899533,0.7711444828193622
25,25,0.7844966456295858,0.8073900103670397,0.7842140488461358
26,26,0.7969661224703372,0.8190143449545131,0.7965911557265473
27,27,0.8043974277312852,0.8243696781558317,0.8040358237821416
28,28,0.8068585367496655,0.8239321366585516,0.8065759516202475
29,29,0.8083090286519117,0.8225299654043728,0.8080913378398363
30,30,0.8112474535383745,0.8240333317802188,0.8110566611362735
31,31,0.8189019924840881,0.8311548474647346,0.8187150779501455
32,32,0.8275443842465628,0.839079371920465,0.8273817512475216
33,33,0.8335047236979115,0.8446108865566284,0.8333600957350892
34,34,0.835565828125131,0.8469209018159792,0.835414430068406
35,35,0.8367351991070396,0.8478200095516547,0.8365860874086433
36,36,0.8379433464047844,0.8490452713485306,0.8377966966163167
